,channel,url
316,CSIFNacional,youtube.com/watch?v=1tHmBBcRTBU
317,CSIFNacional,youtube.com/watch?v=F6WXMAZupow
318,CSIFNacional,youtube.com/watch?v=pPf01IDqw1w
319,CSIFNacional,youtube.com/watch?v=TUyP3apI1MQ
320,CSIFNacional,youtube.com/watch?v=7YVQR4R5aPg
321,CSIFNacional,youtube.com/watch?v=xuKhCm0ARZs
322,CSIFNacional,youtube.com/watch?v=rdli437BVpk
323,CSIFNacional,youtube.com/watch?v=vX29oOAk7bk
324,CSIFNacional,youtube.com/watch?v=0fwbLERD4Ng
325,CSIFNacional,youtube.com/watch?v=754PaPd7tU4
326,CSIFNacional,youtube.com/watch?v=ox6Pn9uw_9k
327,CSIFNacional,youtube.com/watch?v=IuBSuqxl_4k
328,CSIFNacional,youtube.com/watch?v=joC83oJrby0
329,CSIFNacional,youtube.com/watch?v=6TozTb5hbUI
330,CSIFNacional,youtube.com/watch?v=WOGxY6c9qWg
331,CSIFNacional,youtube.com/watch?v=PDvLVbS21_g
332,CSIFNacional,youtube.com/watch?v=DlLg0Ny02bI
333,CSIFNacional,youtube.com/watch?v=trrIL6QoghQ
334,CSIFNacional,youtube.com/watch?v=JFvVf0KTfT8
335,CSIFNacional,youtube.com/watch?v=_DnUgTpWUmE
336,CSIFNacional,youtube.com/watch?v=qSeN2gk9Vho
337,CSIFNacional,youtube.com/watch?v=oIXczDMHgAg
338,CSIFNacional,youtube.com/watch?v=uixUQgaD2sI
339,CSIFNacional,youtube.com/watch?v=7h9Y3nmJSyA
340,CSIFNacional,youtube.com/watch?v=gWIvBTLueCE
341,CSIFNacional,youtube.com/watch?v=eZylETPBrY0
342,CSIFNacional,youtube.com/watch?v=_fqs8ot0DpQ
343,CSIFNacional,youtube.com/watch?v=fHGdDfM6xz4
344,CSIFNacional,youtube.com/watch?v=k9Xv7TAsuTw
345,CSIFNacional,youtube.com/watch?v=m1UrxT8kv5M
346,CSIFNacional,youtube.com/watch?v=qTdIw2kUzyk
347,CSIFNacional,youtube.com/watch?v=CZELA0nA9X0
348,CSIFNacional,youtube.com/watch?v=FWJcF5xn9GE
349,CSIFNacional,youtube.com/watch?v=tKfNyfymt6A
350,CSIFNacional,youtube.com/watch?v=ruUUcyx3Po0
351,CSIFNacional,youtube.com/watch?v=CDwQiVDmLyQ
352,CSIFNacional,youtube.com/watch?v=8W-eShFRKGo
353,CSIFNacional,youtube.com/watch?v=jmbSSL6yUKE
354,CSIFNacional,youtube.com/watch?v=ITYONEtoi_s
355,CSIFNacional,youtube.com/watch?v=ihZdSXsx7aE
356,CSIFNacional,youtube.com/watch?v=ah0imbsAv5E
357,CSIFNacional,youtube.com/watch?v=FCNqKfaD5Q8
358,CSIFNacional,youtube.com/watch?v=eeLGZMorezQ
359,CSIFNacional,youtube.com/watch?v=Nc7J2q-1E4c
360,CSIFNacional,youtube.com/watch?v=U-J_lGGLt88
361,CSIFNacional,youtube.com/watch?v=Qgl5hnaIGuY
362,CSIFNacional,youtube.com/watch?v=hAEUmgLjVvw
363,CSIFNacional,youtube.com/watch?v=ElS_cSrcbmY
364,CSIFNacional,youtube.com/watch?v=HPLygYEjpzs
365,CSIFNacional,youtube.com/watch?v=qsQ7tCUngis
366,CSIFNacional,youtube.com/watch?v=2EhPVKen9DM
367,CSIFNacional,youtube.com/watch?v=4NCQDoJnklM
368,CSIFNacional,youtube.com/watch?v=hBcNLPaUL2k
369,CSIFNacional,youtube.com/watch?v=Mwo5o-jyigk
370,CSIFNacional,youtube.com/watch?v=2aNxA_u3v1k
371,CSIFNacional,youtube.com/watch?v=0nL6grlGwrg
372,CSIFNacional,youtube.com/watch?v=8FxKKD8t28g
373,CSIFNacional,youtube.com/watch?v=QYtHX1vU7Ck
374,CSIFNacional,youtube.com/watch?v=_ubmPzSxoSo
375,CSIFNacional,youtube.com/watch?v=Z5RvJ0S4Bo8
376,CSIFNacional,youtube.com/watch?v=klNkVt1KVvE
377,CSIFNacional,youtube.com/watch?v=yxrhm9anwpo
378,CSIFNacional,youtube.com/watch?v=w-ArPuwEIP4
379,CSIFNacional,youtube.com/watch?v=VwdKCFkgUrs
380,CSIFNacional,youtube.com/watch?v=20RqpgEk01o
381,CSIFNacional,youtube.com/watch?v=2A0hXrYp7Jg
382,CSIFNacional,youtube.com/watch?v=yf1brN-WA1U
383,CSIFNacional,youtube.com/watch?v=AlQA0gZn4t0
384,CSIFNacional,youtube.com/watch?v=JCs2yd4fuug
